id	name	city	state	country
510	Oakland University	Rochester	MI	USA
532	Pepperdine University	Malibu	CA	USA
536	Sam Houston State University	Huntsville	TX	USA
572	Hobart and William Smith Colleges	Geneva	NY	USA
658	Wheaton College (Massachusetts)	Norton	MA	USA
909	University of St. Thomas	St. Paul	MN	USA
970	University of North Carolina at Wilmington	Wilmington	NC	USA
1059	Trinity University	San Antonio	TX	USA
1373	St. Lawrence University	Canton	NY	USA
1446	Federal Reserve Bank of Chicago	Chicago	IL	USA
1562	Bogazici University	Istanbul	(null)	Turkey
1602	Instituto Juan March de Estudios e Investigaciones	Madrid	(null)	Spain
1889	Hitotsubashi University	Tokyo	(null)	Japan
1978	Universita degli Studi del Molise	86100 Campobasso	(null)	Italy
6820	Osaka University	Osaka	(null)	Japan
7910	Nanyang Technological University	Singapore 639798	(null)	Singapore
10005	Nagoya University	Nagoya University	(null)	JAPAN
10299	Oklahoma Christian University	Oklahoma City	OK	USA
10322	University of West Georgia	Carrollton	GA	USA
11184	Singapore Management University	Singapore	(null)	Singapore
11288	Meharry Medical College	Nashville	TN	USA
11430	Catholic University of Daegu	Gyeongbuk	(null)	Korea
11771	Kaunas University of Technology	Kaunas	(null)	Lithuania
13351	Hankuk University of Foreign Studies	Seoul	(null)	KOREA
13530	International Christian University	Tokyo	(null)	JAPAN
